folio	line	region_id	eva_token_sequence	eva_token_count	eva_symbol_count	atoms_unit_sequence	atoms_unit_count	atoms_symbol_count	relation_type	alignment_confidence	coordinate_evidence	ambiguity_note
f1r	15	f1r-l15-r001	daiin	1	5	p003-u099	1	9	1:1	medium	atoms_x=561-699; eva_ordinal=1-1/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	15	f1r-l15-r002	shckhey ckeor chor shey kol	5	23	p003-u100 p003-u101 p003-u102 p003-u103	4	40	N:M	low	atoms_x=741-1537; eva_ordinal=2-6/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	15	f1r-l15-r003	chol chol kor chal	4	15	p003-u104 p003-u105 p003-u106 p003-u107 p003-u108	5	31	N:M	low	atoms_x=1599-2275; eva_ordinal=7-10/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	16	f1r-l16-r001	sho chol shodan kshy kchy dor chodaiin sho kchom	9	40	p003-u109 p003-u110 p003-u111 p003-u112 p003-u113 p003-u114 p003-u115 p003-u116 p003-u117	9	78	N:M	low	atoms_x=565-2330; eva_ordinal=1-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	17	f1r-l17-r001	ycho tchey chokain sheo pshol	5	25	p003-u118 p003-u119 p003-u120 p003-u121 p003-u122	5	52	N:M	low	atoms_x=572-1618; eva_ordinal=1-5/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	17	f1r-l17-r002	dydyd	1	5	p003-u123	1	13	1:1	medium	atoms_x=1680-1852; eva_ordinal=6-6/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	17	f1r-l17-r003	cthy daicthy	2	11	p003-u124 p003-u125	2	26	N:M	low	atoms_x=1918-2310; eva_ordinal=7-8/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	18	f1r-l18-r001	yto shol	2	7	p003-u126 p003-u127 p003-u128	3	20	N:M	low	atoms_x=566-989; eva_ordinal=1-2/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	18	f1r-l18-r002	she kodshey cphealy	3	17	p003-u129 p003-u130	2	31	N:M	low	atoms_x=1035-1611; eva_ordinal=3-5/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	18	f1r-l18-r003	dasain	1	6	p003-u131	1	14	1:1	medium	atoms_x=1691-1895; eva_ordinal=6-6/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	18	f1r-l18-r004	dain ckhyds	2	10	p003-u132 p003-u133	2	23	N:M	low	atoms_x=1956-2363; eva_ordinal=7-8/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	19	f1r-l19-r001	dchar shcthaiin okaiir chey	4	24	p003-u134 p003-u135 p003-u136	3	46	N:M	low	atoms_x=567-1426; eva_ordinal=1-4/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=6; grouped relation; inspect visually before token-level use
f1r	19	f1r-l19-r002	rchy potol cthols	3	15	p003-u137 p003-u138	2	38	N:M	low	atoms_x=1486-2111; eva_ordinal=5-7/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=6; grouped relation; inspect visually before token-level use
f1r	19	f1r-l19-r003	dlocta	1	6	p003-u139	1	14	1:1	low-medium	atoms_x=2149-2360; eva_ordinal=8-8/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=8 atoms=6
f1r	20	f1r-l20-r001	shok chor	2	8	p003-u140 p003-u141 p003-u142	3	22	N:M	low	atoms_x=571-1033; eva_ordinal=1-2/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	20	f1r-l20-r002	chey dain	2	8	p003-u143 p003-u144	2	19	N:M	low	atoms_x=1099-1421; eva_ordinal=3-4/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	20	f1r-l20-r003	otol daiiin	2	10	p003-u145 p003-u146	2	19	N:M	low	atoms_x=1961-2324; eva_ordinal=6-7/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	22	f1r-l22-r001	cpho shaiin shokcheey chol tshodeesy shey pydeey chy ro d?	10	49	p003-u147 p003-u148 p003-u149 p003-u150 p003-u151 p003-u152 p003-u153 p003-u154	8	103	N:M	low	atoms_x=534-2326; eva_ordinal=1-10/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=8; grouped relation; inspect visually before token-level use
f1r	23	f1r-l23-r001	?doin	1	5	p003-u155	1	11	1:1	medium	atoms_x=544-698; eva_ordinal=1-1/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	23	f1r-l23-r002	chol	1	4	p003-u156	1	6	1:1	medium	atoms_x=739-859; eva_ordinal=2-2/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	23	f1r-l23-r003	dain cthal	2	9	p003-u157 p003-u158	2	20	N:M	low	atoms_x=899-1215; eva_ordinal=3-4/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	23	f1r-l23-r004	dar shear	2	8	p003-u159 p003-u160	2	18	N:M	low	atoms_x=1255-1572; eva_ordinal=5-6/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	23	f1r-l23-r005	kaiin dar	2	8	p003-u161 p003-u162	2	18	N:M	low	atoms_x=1617-1902; eva_ordinal=7-8/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	23	f1r-l23-r006	shey	1	4	p003-u163	1	7	1:1	medium	atoms_x=1938-2053; eva_ordinal=9-9/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	23	f1r-l23-r007	cthar	1	5	p003-u164	1	12	1:1	medium	atoms_x=2093-2264; eva_ordinal=10-10/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	24	f1r-l24-r001	cho?o kaiin shoaiin	3	17	p003-u165 p003-u166 p003-u167	3	26	N:M	low	atoms_x=541-1105; eva_ordinal=1-3/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	24	f1r-l24-r002	okol	1	4	p003-u168	1	8	1:1	medium	atoms_x=1159-1298; eva_ordinal=4-4/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1r	24	f1r-l24-r003	daiin far cthol daiin ctholdar	5	26	p003-u169 p003-u170 p003-u171 p003-u172 p003-u173	5	59	N:M	low	atoms_x=1338-2312; eva_ordinal=5-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	25	f1r-l25-r001	ycheey	1	6	p003-u174	1	9	1:1	low-medium	atoms_x=536-695; eva_ordinal=1-1/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=8
f1r	25	f1r-l25-r002	okay	1	4	p003-u175	1	8	1:1	low-medium	atoms_x=728-867; eva_ordinal=2-2/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=8
f1r	25	f1r-l25-r003	oky daiin okchey kokaiin ??chol k??chy dal	7	36	p003-u176 p003-u177 p003-u178 p003-u179 p003-u180 p003-u181	6	65	N:M	low	atoms_x=935-2236; eva_ordinal=3-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=8; grouped relation; inspect visually before token-level use
f1r	26	f1r-l26-r001	d?eeo shody	2	10	p003-u182 p003-u183	2	18	N:M	low	atoms_x=536-901; eva_ordinal=1-2/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	26	f1r-l26-r002	koshey cthy	2	10	p003-u184 p003-u185	2	22	N:M	low	atoms_x=954-1309; eva_ordinal=3-4/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	26	f1r-l26-r003	okchey keey keey dal chtor	5	22	p003-u186 p003-u187 p003-u188 p003-u189 p003-u190	5	47	N:M	low	atoms_x=1371-2279; eva_ordinal=5-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	27	f1r-l27-r001	?eo chol chok choty	4	16	p003-u191 p003-u192 p003-u193 p003-u194 p003-u195	5	38	N:M	low	atoms_x=537-1494; eva_ordinal=1-4/6; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1r	27	f1r-l27-r002	dchaiin	1	7	p003-u196	1	12	1:1	medium	atoms_x=2000-2200; eva_ordinal=6-6/6; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1v	1	f1v-l1-r001	kchsy chadaiin	2	13	p004-u001 p004-u002 p004-u003	3	28	N:M	low	atoms_x=595-1093; eva_ordinal=1-2/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1v	1	f1v-l1-r002	char cfhar am	3	11	p004-u004 p004-u005 p004-u006 p004-u007	4	42	N:M	low	atoms_x=1787-2496; eva_ordinal=5-7/7; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1v	2	f1v-l2-r001	yteeay char or	3	12	p004-u008 p004-u009 p004-u010 p004-u011	4	27	N:M	low	atoms_x=571-1131; eva_ordinal=1-3/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1v	2	f1v-l2-r002	dcho lkody okodar chody	4	20	p004-u012 p004-u013 p004-u014 p004-u015	4	42	N:M	low	atoms_x=1723-2447; eva_ordinal=5-8/8; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1v	3	f1v-l3-r001	do	1	2	p004-u016	1	13	1:1	low-medium	atoms_x=567-746; eva_ordinal=1-1/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=8
f1v	3	f1v-l3-r002	ckhy ckho	2	8	p004-u017 p004-u018	2	23	N:M	low	atoms_x=797-1169; eva_ordinal=2-3/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=8; grouped relation; inspect visually before token-level use
f1v	3	f1v-l3-r003	dksheey cthy	2	11	p004-u019 p004-u020	2	24	N:M	low	atoms_x=1625-2008; eva_ordinal=6-7/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=8; grouped relation; inspect visually before token-level use
f1v	3	f1v-l3-r004	kotchody dal	2	11	p004-u021 p004-u022 p004-u023	3	25	N:M	low	atoms_x=2048-2447; eva_ordinal=8-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=9 atoms=8; grouped relation; inspect visually before token-level use
f1v	4	f1v-l4-r001	dol chokeo dair	3	13	p004-u024 p004-u025 p004-u026 p004-u027	4	34	N:M	low	atoms_x=565-1153; eva_ordinal=1-3/6; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=6 atoms=7; grouped relation; inspect visually before token-level use
f1v	4	f1v-l4-r002	sochey	1	6	p004-u028	1	10	1:1	low-medium	atoms_x=1573-1743; eva_ordinal=5-5/6; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=6 atoms=7
f1v	4	f1v-l4-r003	chokody	1	7	p004-u029 p004-u030	2	14	1:N	low	atoms_x=1784-2015; eva_ordinal=6-6/6; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=6 atoms=7; grouped relation; inspect visually before token-level use
f1v	5	f1v-l5-r001	potoy	1	5	p004-u031	1	15	1:1	medium	atoms_x=529-729; eva_ordinal=1-1/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1v	5	f1v-l5-r002	shol dair cphoal	3	14	p004-u032 p004-u033 p004-u034	3	31	N:M	low	atoms_x=784-1300; eva_ordinal=2-4/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1v	5	f1v-l5-r003	dar chey	2	7	p004-u035 p004-u036	2	14	N:M	low	atoms_x=1547-1785; eva_ordinal=5-6/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1v	5	f1v-l5-r004	tody otoaiin	2	11	p004-u037 p004-u038	2	22	N:M	low	atoms_x=1814-2220; eva_ordinal=7-8/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; grouped relation; inspect visually before token-level use
f1v	5	f1v-l5-r005	shoshy	1	6	p004-u039	1	11	1:1	medium	atoms_x=2259-2452; eva_ordinal=9-9/9; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.
f1v	6	f1v-l6-r001	choky	1	5	p004-u040	1	10	1:1	low-medium	atoms_x=557-699; eva_ordinal=1-1/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=11
f1v	6	f1v-l6-r002	chol cthol shol okal	4	17	p004-u041 p004-u042 p004-u043 p004-u044	4	32	N:M	low	atoms_x=749-1378; eva_ordinal=2-5/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=11; grouped relation; inspect visually before token-level use
f1v	6	f1v-l6-r003	dolchey chodo lol chy cthy	5	22	p004-u045 p004-u046 p004-u047 p004-u048 p004-u049 p004-u050	6	40	N:M	low	atoms_x=1545-2462; eva_ordinal=6-10/10; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=10 atoms=11; grouped relation; inspect visually before token-level use
f1v	7	f1v-l7-r001	qo	1	2	p004-u051 p004-u052	2	6	1:N	low	atoms_x=557-707; eva_ordinal=1-1/12; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=12 atoms=11; grouped relation; inspect visually before token-level use
f1v	7	f1v-l7-r002	ol choeee cheol dol cthey	5	21	p004-u053 p004-u054 p004-u055 p004-u056	4	32	N:M	low	atoms_x=729-1401; eva_ordinal=2-6/12; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=12 atoms=11; grouped relation; inspect visually before token-level use
f1v	7	f1v-l7-r003	ykol dol	2	7	p004-u057 p004-u058	2	15	N:M	low	atoms_x=1533-1803; eva_ordinal=7-8/12; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=12 atoms=11; grouped relation; inspect visually before token-level use
f1v	7	f1v-l7-r004	dolo	1	4	p004-u059	1	7	1:1	low-medium	atoms_x=1844-1954; eva_ordinal=9-9/12; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=12 atoms=11
f1v	7	f1v-l7-r005	ykol	1	4	p004-u060	1	9	1:1	low-medium	atoms_x=2000-2136; eva_ordinal=10-10/12; line_pair=paired-by-ordinal	EVA token spans are ordinal estimates; ATOMS spans use bounding boxes.; line-count-drift eva=12 atoms=11
